date,gdp_growth_saar
2004-04-01,4.542525696329669
2004-07-01,4.317699708115752
2004-10-01,3.9283520151786044
2005-01-01,5.254584420921882
2005-04-01,4.511587979955012
2005-07-01,4.83619366532877
2005-10-01,5.397899824460595
2006-01-01,6.1449786301157605
2006-04-01,4.324130903357815
2006-07-01,4.277891898122266
2006-10-01,5.962759595488265
2007-01-01,6.10922253947892
2007-04-01,5.09787494108267
2007-07-01,4.019602999607885
2007-10-01,6.069781386862005
2008-01-01,3.665390321664863
2008-04-01,2.553742225747735
2008-07-01,-0.20931442330835992
2008-10-01,-5.774007015797366
2009-01-01,-5.926303621644912
2009-04-01,4.427718252712509
2009-07-01,5.672371690910283
2009-10-01,5.739503522298284
2010-01-01,5.297816914466846
2010-04-01,6.083803796503617
2010-07-01,4.696419020299669
2010-10-01,5.056076403143339
2011-01-01,3.9052393206750358
2011-04-01,3.5326178798288366
2011-07-01,3.4685496541638328
2011-10-01,3.4387337923141192
2012-01-01,4.422795784512723
2012-04-01,2.089859760183188
2012-07-01,2.938773554002605
2012-10-01,2.3477771908209544
2013-01-01,3.8809198063494588
2013-04-01,3.906519812103859
2013-07-01,4.118106733607285
2013-10-01,3.459994486278628
2014-01-01,3.1867625189536897
2014-04-01,3.7664063593382924
2014-07-01,3.9115217615895315
2014-10-01,3.2499831275403457
2015-01-01,3.7243236371166555
2015-04-01,3.54394381759513
2015-07-01,3.2815747297697317
2015-10-01,2.483652582226026
2016-01-01,3.4341318451331926
2016-04-01,3.1225874502474937
2016-07-01,3.462644720672081
2016-10-01,3.627751496758802
2017-01-01,3.7884684983156225
2017-04-01,4.383955470270107
2017-07-01,4.44526086090522
2017-10-01,4.020134492498317
2018-01-01,4.299339608312369
2018-04-01,3.570386089348232
2018-07-01,2.8908561712812197
2018-10-01,2.102191904870554
2019-01-01,3.571870448910719
2019-04-01,4.305474006376198
2019-07-01,3.175932270087567
2019-10-01,1.099394164544698
2020-01-01,-12.88939306736453
2020-04-01,-21.348582976958863
2020-07-01,38.89851562782207
2020-10-01,9.115558715492789
2021-01-01,3.6792912970175395
2021-04-01,3.915184489668322
2021-07-01,6.350908102527075
2021-10-01,7.3255345342164935
2022-01-01,1.6767270933343736
2022-04-01,0.7751018131202381
2022-07-01,5.462671387878104
2022-10-01,2.257629674812067
2023-01-01,3.5642321969801216
2023-04-01,3.057900988219786
2023-07-01,4.31745238220691
2023-10-01,2.449580335530621
2024-01-01,3.535813387774911
2024-04-01,3.4829218554604857
2024-07-01,3.8443757833963144
2024-10-01,3.721524053289982
2025-01-01,2.4329023157761753
2025-04-01,4.026134593081676
2025-07-01,3.523345359211083
2025-10-01,3.3262058659381033
2026-01-01,3.0310904908267045
