quarter,actual,dfm_pred,ml_pred,dfm_err,ml_err,regime
2008-01-01,3.665390321664863,5.418780593985756,5.167209065398487,-1.7533902723208925,-1.5018187437336241,calm
2008-04-01,2.553742225747735,4.0834092778734705,3.689560786795852,-1.5296670521257356,-1.1358185610481173,calm
2008-07-01,-0.2093144233083599,2.8062313823370997,1.2618575341561526,-3.0155458056454596,-1.4711719574645126,stressed
2008-10-01,-5.774007015797366,-1.3699958306551032,-8.76749654788294,-4.404011185142263,2.993489532085574,stressed
2009-01-01,-5.926303621644912,-5.005126497055669,-3.985794522484382,-0.9211771245892431,-1.9405090991605305,stressed
2009-04-01,4.427718252712509,-2.039922028871657,2.279151442175902,6.467640281584166,2.1485668105366074,stressed
2009-07-01,5.672371690910283,1.6860873549073767,7.492986380465782,3.986284336002906,-1.8206146895554989,calm
2009-10-01,5.739503522298284,5.164632738564513,4.2043220425009125,0.574870783733771,1.5351814797973713,calm
2010-01-01,5.297816914466846,6.978922097453344,5.875013440040439,-1.6811051829864976,-0.5771965255735925,calm
2010-04-01,6.083803796503617,5.571348897190613,5.158695110807061,0.5124548993130045,0.9251086856965562,calm
2010-07-01,4.696419020299669,4.372832141354096,4.463072882965509,0.3235868789455729,0.2333461373341601,calm
2010-10-01,5.056076403143339,4.818154498909178,5.711624027886686,0.23792190423416137,-0.6555476247433472,calm
2011-01-01,3.905239320675036,4.923399629725257,4.3299615365959045,-1.0181603090502205,-0.42472221592086834,calm
2011-04-01,3.532617879828837,4.51607194931992,2.929069359002414,-0.9834540694910827,0.6035485208264229,calm
2011-07-01,3.4685496541638328,3.783635862167784,4.112253025703863,-0.3150862080039514,-0.6437033715400302,calm
2011-10-01,3.4387337923141192,2.7172705476969545,2.746848381369003,0.7214632446171647,0.6918854109451162,calm
2012-01-01,4.422795784512723,3.0615585455351693,4.987742630958758,1.3612372389775538,-0.564946846446035,calm
2012-04-01,2.089859760183188,2.636543241432479,2.8094290704616753,-0.5466834812492909,-0.7195693102784873,calm
2012-07-01,2.938773554002605,3.1956946834227473,3.13788516887668,-0.25692112942014234,-0.19911161487407503,calm
2012-10-01,2.3477771908209544,3.404211360158578,2.772657586798509,-1.0564341693376238,-0.42488039597755467,calm
2013-01-01,3.8809198063494583,3.4951524816637285,3.9861016142915657,0.38576732468572983,-0.10518180794210741,calm
2013-04-01,3.906519812103859,3.828386602657196,4.1572386925712745,0.07813320944666291,-0.2507188804674154,calm
2013-07-01,4.118106733607285,3.9682398471215357,3.841896672940685,0.14986688648574953,0.27621006066660003,calm
2013-10-01,3.459994486278628,4.230940983044074,3.7903161245356896,-0.770946496765446,-0.3303216382570615,calm
2014-01-01,3.1867625189536897,4.487911213402091,3.7579724299041373,-1.3011486944484014,-0.5712099109504476,calm
2014-04-01,3.766406359338293,4.987556611943848,3.7671917938314676,-1.2211502526055553,-0.0007854344931748081,calm
2014-07-01,3.911521761589532,4.948894302585958,3.620580063333804,-1.0373725409964263,0.290941698255728,calm
2014-10-01,3.2499831275403457,4.511689075935129,4.02766042576315,-1.2617059483947832,-0.7776772982228044,calm
2015-01-01,3.724323637116656,3.786463273733939,3.0583563036834773,-0.062139636617283056,0.6659673334331786,calm
2015-04-01,3.54394381759513,3.7478210048774123,3.474491016396979,-0.20387718728228243,0.069452801198151,calm
2015-07-01,3.281574729769732,3.2411319537799943,3.96453209441667,0.04044277598973789,-0.682957364646938,calm
2015-10-01,2.483652582226026,3.019597512462328,3.0993086474589457,-0.5359449302363024,-0.6156560652329199,calm
2016-01-01,3.4341318451331926,2.8814220814594353,3.9250285750068192,0.5527097636737572,-0.49089672987362665,calm
2016-04-01,3.1225874502474937,3.0362358286467503,3.319761564651581,0.08635162160074339,-0.19717411440408705,calm
2016-07-01,3.462644720672081,3.7832004592639406,3.8695806922290563,-0.3205557385918594,-0.40693597155697514,calm
2016-10-01,3.627751496758802,4.195251243886936,4.35848956964763,-0.5674997471281342,-0.730738072888828,calm
2017-01-01,3.7884684983156234,4.979741880835241,3.8806124343553265,-1.1912733825196176,-0.09214393603970317,calm
2017-04-01,4.383955470270107,4.800721563502092,4.421719574769926,-0.41676609323198566,-0.037764104499819595,calm
2017-07-01,4.44526086090522,4.9096114788963074,3.6753464332429115,-0.46435061799108723,0.7699144276623087,calm
2017-10-01,4.020134492498317,5.28854951394152,4.797147546122977,-1.2684150214432028,-0.7770130536246596,calm
2018-01-01,4.299339608312369,4.720626165626426,3.509577762581016,-0.4212865573140565,0.7897618457313533,calm
2018-04-01,3.570386089348232,4.8079708894609565,4.36274937086836,-1.2375848001127245,-0.792363281520128,calm
2018-07-01,2.89085617128122,4.581749514552565,3.3884592958532016,-1.690893343271345,-0.4976031245719814,calm
2018-10-01,2.102191904870554,3.469678715701439,3.69078725244529,-1.367486810830885,-1.5885953475747359,calm
2019-01-01,3.571870448910719,3.2010029265094753,3.0322202677692855,0.37086752240124365,0.5396501811414334,calm
2019-04-01,4.305474006376198,3.5578951979450424,3.7852574939734716,0.7475788084311552,0.520216512402726,calm
2019-07-01,3.175932270087567,3.410261647617876,3.1881633572625314,-0.23432937753030902,-0.012231087174964461,calm
2019-10-01,1.099394164544698,3.6904226551041575,2.2078571001498433,-2.5910284905594594,-1.1084629356051452,calm
2020-01-01,-12.88939306736453,-1.1859104942123389,3.620802694654678,-11.703482573152192,-16.510195762019208,stressed
2020-04-01,-21.348582976958863,-4.944479660593194,-50.359926446717104,-16.40410331636567,29.01134346975824,stressed
2020-07-01,38.89851562782207,3.803988429605246,24.549248276364953,35.094527198216824,14.349267351457119,stressed
2020-10-01,9.115558715492789,2.67926825771588,5.593098687784641,6.4362904577769084,3.5224600277081475,calm
2021-01-01,3.67929129701754,5.456117174828661,4.5050135035038945,-1.7768258778111208,-0.8257222064863545,calm
