,pmi,trade,ip,oil,fin,ai,copper,usd,trend,fitted,actual,residual
2008-07-01,-0.1461838311330591,-0.03471868458057158,-0.11023159521671727,0.14963388390708351,-0.06537107227767774,-0.22448811496270143,-0.035695094110051694,0.11433906724465716,2.724508548787808,2.3717931076587697,2.0916044806491,-0.28018862700966984
2008-10-01,-0.368733936028288,-0.2911055149017251,-0.2838294519196739,-0.11692751848602904,-0.48174513019810894,-0.26234352457047894,-0.25929832549667386,-0.12137548955147812,2.724508548787808,0.5391496576353516,1.5208307102200849,0.9816810525847333
2009-01-01,-0.4326698498228848,-0.3999648421683091,-0.33186879505191014,-0.16905855192734864,-0.31195248645075535,-0.23998027380784173,-0.3044008763078255,-0.19842714784073331,2.724508548787808,0.3361857254101994,-0.19149060106696,-0.5276763264771595
2009-04-01,-0.2963309033851261,-0.017585092676574113,0.016728707859044078,-0.16665699323037203,-0.1640419167097685,-0.22167511257774764,-0.24461489208141546,-0.1773030330994131,2.724508548787808,1.4530293128864349,-1.33303814192499,-2.786067454811425
2009-07-01,-0.09537942054390106,0.16550188601218815,0.11316560471239534,-0.13272153321202063,-0.07019969053876893,-0.12863156432943332,-0.1376612739341098,-0.030021737092190404,2.724508548787808,2.4085608198619672,-1.33303814192499,-3.7415989617869574
2009-10-01,0.05108781605461334,0.15746401047384379,0.09520305399393639,0.09890163479480751,-0.04070881659423518,0.1206772767396696,0.36564588275422577,0.17201436517866453,2.724508548787808,3.7447937721833338,-0.3573897618145181,-4.102183533997852
2010-01-01,0.1153041564798804,0.07450349155112267,0.10810229092087012,0.1841756206948677,-0.006378343697491332,0.165657257779363,0.5117924026146439,0.13459193357479377,2.724508548787808,4.012257358705858,2.569555378516897,-1.4427019801889607
2010-04-01,0.11307364441752743,0.1404025920514266,0.10147668171060474,0.08795552800694588,-0.08192644936014164,0.06072523187132633,0.21233236401539546,-0.01066154717714399,2.724508548787808,3.347886594323749,4.52085213873784,1.1729655444140916
2010-07-01,0.10201953897609674,0.02298490728056586,0.009709440133386931,0.01936921935983647,-0.0553628609227621,-0.06653072942390732,0.08674264524184712,-0.047147579050351454,2.724508548787808,2.79629313038252,4.52085213873784,1.7245590083553206
2010-10-01,0.12784187496735108,0.06529498580168284,0.07061726675419784,0.030683599597712663,0.005630256242479837,0.002510196502346212,0.11449265706990754,-0.02531687222212737,2.724508548787808,3.116262513501358,4.319763181132646,1.2035006676312876
2011-01-01,0.14845289282205884,0.030925318394995467,0.04016893586897751,0.0909314838054319,0.01622707930046783,0.047191233035795,0.1356878555499176,0.05983162832567841,2.724508548787808,3.29392497589113,3.71649630831706,0.4225713324259299
2011-04-01,0.11938154610984296,-0.018784336590056495,-0.02627380397745461,0.12609654491969935,0.0292601018109328,0.003789869555486474,0.12161082498586179,0.19703039937604405,2.724508548787808,3.276619694978164,3.314318393106669,0.037698698128505015
2011-07-01,0.055576000143548215,0.02530112540189563,0.030702242946029072,0.12058968270912043,-0.12941920479125063,-0.06546957653968499,0.08868400212304134,0.15039312554229695,2.724508548787808,3.000865946322804,3.314318393106669,0.3134524467838653
2011-10-01,0.01620287899905995,-0.034165902444795955,-0.037985246118887685,0.05964690787040122,-0.12542703293054583,-0.12023443562852992,-0.0954648951810259,0.03385153313576067,2.724508548787808,2.4209323564892444,3.219837593328033,0.7989052368387886
2012-01-01,0.010737615196967401,-0.009135505123491197,0.028518889858510345,0.022500008674411105,0.018920828833367546,-0.1241343768117696,-0.09802800305717459,-0.010040136633307165,2.724508548787808,2.5638478697253215,2.936395193992123,0.37254732426680137
2012-04-01,-0.005586881303210389,0.015066644692349146,-0.01320399513096446,-0.03623604831367192,-0.0022759808262762535,-0.14617054616722916,-0.10303061412139754,-0.09655780328193986,2.724508548787808,2.3365133243354674,2.7474335944348502,0.4109202700993828
2012-07-01,-0.019717192193191804,-0.027936233040846168,-0.027124468525279232,-0.022498293929508858,0.0448033522347888,-0.06631182699463004,-0.09396611923616202,-0.10228656949978394,2.724508548787808,2.4094711976031946,2.7474335944348502,0.33796239683165563
2012-10-01,-0.005705706146714318,-0.04269224509515723,-0.03241821545130784,-0.01264415397796128,0.037604866484867355,-0.10180230542030155,-0.0012530457041854336,-0.009689430370591052,2.724508548787808,2.5559083131064564,2.771152604724582,0.21524429161812542
2013-01-01,0.025675595523225073,0.017075437149357033,-0.0017788550656084804,-0.028736392414093197,0.07750654107393723,-0.10136151343890015,-0.05432678946854287,-0.001781459213253562,2.724508548787808,2.656781112933929,2.8423096355937765,0.18552852265984754
2013-04-01,0.04739745591492225,-0.02335032239384501,0.01788765399249842,-0.028002646300853525,0.06050356100657294,-0.01288940941142221,-0.07088874151834666,-0.005808421043945388,2.724508548787808,2.7093576790333884,2.88974765617324,0.1803899771398516
