,pmi,trade,ip,oil,fin,ai,copper,usd
2005-01-01,50.883,7.266921140554317,3.7603128120223372,,-1.685608370825532,-1.1116984984494578,31.63413545385616,3.851768513678222
2005-02-01,50.66299999999998,-1.3384323417086397,4.750479914857375,,-1.4687230252960874,-0.9152483083917167,17.203012358390836,3.0388824955577265
2005-03-01,50.405000000000015,-2.8915316033454763,3.599271975232199,,-1.6465179799632008,-0.9504980736995036,10.79117003988641,6.354963281785341
2005-04-01,50.17524999999999,9.453252041729442,4.655709303520861,,-1.8136844622749646,-0.9175219666679085,16.406359930649785,6.199113956408886
2005-05-01,50.02575,13.504267045325946,3.3598795299938145,,-1.752041645569415,-0.898147945527641,22.39611688011214,5.434521028613782
2005-06-01,49.9934,12.830157581126667,3.5490558471947153,,-1.4887537508160475,-0.9314492265929639,34.17825179742528,0.7994253065547019
2005-07-01,50.05925000000001,0.5267490505618255,1.034320665682209,,-1.3859418847566403,-0.15280526051518697,28.761570151041617,-1.539912228425444
2005-08-01,50.19874999999999,4.901448822560739,3.8612684696974764,,-1.624559252598787,0.27286103493013253,34.46880719954524,1.052072965823736
2005-09-01,50.405750000000005,6.754451440876785,3.1466561645052904,,-1.584017206185342,0.1508245147470053,33.646772512265265,0.6490916326159613
2005-10-01,50.679750000000006,13.168610992610684,4.274080123777879,,-1.8737145225396576,-0.4257686682315597,40.95726949804348,-3.2733337089402292
2005-11-01,51.008749999999985,11.301029074460956,7.206020445978112,,-1.5237482205173745,-0.16210789512491403,42.309801802267,-9.442457986681486
2005-12-01,51.35175,18.443820916931088,7.727711831062489,,-1.4124088686628595,-0.2534693484850166,49.175182411360964,-11.459065540270075
2006-01-01,51.66525,11.632588824464495,5.639652227798053,,-1.5097471722328046,0.44623048827274603,50.52760377451495,-7.121837826659205
2006-02-01,51.92350000000001,11.482396765543545,3.077322603541943,,-1.5643184122009823,0.025007314290276268,53.491377886406525,-7.917887531253354
2006-03-01,52.11500000000001,5.996038704313689,4.16971153935044,,-1.4668371610208482,0.030069893028495,56.386324267308474,-8.608046974529149
2006-04-01,52.2345,9.89395580153083,3.035358723824788,,-1.4860859905745079,0.46332044338270223,98.48397267894127,-4.915712805582495
2006-05-01,52.295750000000005,7.374779361890971,4.160729793677098,,-1.8131197271732304,-0.32388973271991245,153.85828116206466,0.9001982152043064
2006-06-01,52.34275,7.0437950284290896,3.459344119865926,,-2.1222053216539445,-0.4121329519419638,109.41817734759427,3.02611345781314
2006-07-01,52.421250000000015,-0.46070922402262626,4.0466610730158115,,-1.922431451857514,-0.9165530306539774,121.89487767468799,4.2405876638348605
2006-08-01,52.58424999999999,4.771394807739782,2.438113994722846,,-1.6747881675157208,-0.7141714008178033,105.5225112913472,3.29272662818878
2006-09-01,52.85599999999999,6.76496408956484,1.40879874572577,,-1.5283744074434074,-0.6912919735969428,97.2941105587924,2.810513393766134
2006-10-01,53.22025,13.084709948595009,2.5805916061060863,,-1.4182245341968662,-0.3975485585097058,78.34774220918557,3.7662801656607736
2006-11-01,53.649249999999995,10.66729933633146,4.882644714357598,,-1.356918391060381,-0.5854052484674851,57.39074377175839,7.265517092581641
2006-12-01,54.106999999999985,8.251379788764112,6.745787780860968,,-1.3753425490773117,-0.6431828561168561,38.33938107662247,8.316109519478287
2007-01-01,54.56125,4.331492279678484,5.9349197846686685,,-1.3851265563039057,-0.9619074521287337,18.91291953711236,4.7742067026179775
2007-02-01,55.03,3.900796618597324,3.4250204210201085,,-1.3992710949257972,-0.8281706536218396,15.364198859971733,6.581232025569705
2007-03-01,55.49524999999999,-3.5462014535001973,3.2458196972514397,,-1.9019511958048998,-0.7583181748643545,25.75710954582897,7.205829845235934
2007-04-01,55.939750000000004,1.8510418086449043,2.3461166236771858,,-1.6222632164604935,-0.6994638440906219,18.186589203046278,7.080094185765318
2007-05-01,56.32525000000001,1.3716732435021584,5.172487242889057,,-1.6680131441830839,-0.4223586132068814,-7.346760879471925,3.237521562369683
2007-06-01,56.6225,6.758890630913172,2.8769236006731536,,-1.8749688766345254,-0.16743959047643867,-0.2601046123456796,3.8473548554581294
2007-07-01,56.81799999999999,3.57990883934165,5.835624709798637,,-2.166697078854182,0.06392867326962594,-0.20032346699172532,5.954419329689065
2007-08-01,56.90200000000001,6.5101435447082245,3.815349734192841,,-3.1391711218167817,-0.2511240204275894,-4.610610276841987,4.833234538725062
2007-09-01,56.870249999999984,4.704197893183526,2.8997527348090024,,-2.7845461975242567,-0.2740893884505205,-0.25792475908003043,7.36222357428693
2007-10-01,56.692,7.287504119730093,5.20870908963611,,-2.3977901003423447,-0.5370138255042517,5.741589895445909,9.83858232493181
2007-11-01,56.33324999999999,4.433956545649198,3.0645919527538146,,-3.208950417587697,-0.927613994098368,-1.1486587727482012,10.814482037180706
2007-12-01,55.81199999999999,5.0597795897112885,5.2970857633303225,,-2.7158138936779492,-0.9074965724082924,0.5437897947238479,7.907696623466986
2008-01-01,55.12924999999999,14.955241056417545,3.393612546597402,,-3.238278572076269,-1.1181651633712513,23.362838959219644,10.469615484796012
2008-02-01,54.270749999999985,11.670814457113575,4.061077035217608,,-3.193097721922403,-1.2150303800456608,38.24011014860602,10.349718006594644
2008-03-01,53.279749999999986,6.506009081493036,-0.19500249217223597,,-3.3997534528218685,-1.2076104702995327,30.39549147780074,13.212805196759824
2008-04-01,52.1555,1.7134536582381177,0.047734732995530216,,-2.7047413229323904,-1.1200904967190441,12.284412730873662,12.21324546607777
2008-05-01,50.867749999999994,1.137212335148563,-5.7786155290679435,,-2.295896080393631,-0.9640727401944096,8.377283802486568,11.201582222178397
2008-06-01,49.38792500000002,2.5538319092972106,-3.4854064956096997,,-2.7734487243538326,-1.215667401557759,8.917563971110676,11.261180477952115
2008-07-01,47.68014999999998,0.1705155440063999,-7.10967679435287,75.5344517510241,-3.0507735055808323,-1.3120473347142594,3.9667004070835565,10.202332778020972
2008-08-01,45.78402499999999,-0.6349864525108551,-4.973741853641844,61.78476643714043,-2.5959866945136176,-1.2642313243752576,2.036289681377945,6.021335405126493
2008-09-01,43.76617499999998,-2.868457885257225,-8.592330363536771,30.24245039905391,-3.7930041155976886,-1.4262578514170625,-9.062933985255706,1.3086916365633416
2008-10-01,41.78797500000002,-10.158672570849859,-12.1814027215286,-10.233055081324238,-7.673844574082202,-1.5590162070013132,-39.09914754324506,-6.7617992443171016
2008-11-01,40.11077499999999,-30.559108811362655,-20.303420976038346,-40.26904191844544,-7.857242246177706,-1.6039496572012688,-46.15386747385203,-14.223858479950868
2008-12-01,38.94349999999999,-41.93872790441737,-27.51314007378983,-52.972321946000044,-6.5734713130946,-1.5551042619196913,-54.06634392807729,-8.260381874476685
2009-01-01,38.38965000000002,-52.04863342374557,-32.326549844138995,-50.25127321921612,-5.604854860293162,-1.4756421208336856,-53.82239327050542,-10.827074366644517
2009-02-01,38.5117,-39.001422323016676,-23.542488976823172,-52.930749769835664,-5.716182500165721,-1.4873615482729685,-58.03388276388678,-14.380943394132029
2009-03-01,39.23279999999998,-25.286465879089228,-15.010472703596566,-53.298537191483966,-5.618960724279506,-1.3323618068505705,-54.94769103834187,-19.329199847082144
2009-04-01,40.454775000000005,-3.786330477721689,-1.8636699656087052,-52.92946351287026,-4.77457032784589,-1.3326030832140023,-48.059350023495305,-18.212964232723383
2009-05-01,42.00402499999999,-2.053043932387655,2.2229195533217228,-52.8870996609765,-4.011191008623367,-1.3627778155865817,-44.19699476987091,-12.684566325678336
2009-06-01,43.71504999999999,7.807411562321853,7.723192304344972,-48.22212407472779,-3.655260806832005,-1.2539849344343377,-38.11521838133678,-9.447530696612816
2009-07-01,45.437949999999994,15.79396787284919,9.904386782898712,-50.85704735682097,-3.2817467264654305,-0.8787316832404878,-36.54428667922647,-9.583787845862247
2009-08-01,47.05165000000001,18.9999581002851,8.755723635907087,-36.629491325830664,-3.1781887448580637,-0.9219133660813911,-18.211170527465438,-3.138441545515347
2009-09-01,48.48187500000002,23.81943369046555,11.266566424420299,-32.047024307754,-3.126700277729187,-0.39003458350929837,-10.440672877505264,1.6056696983276497
2009-10-01,49.6885,21.041515401958712,8.987667543907119,-0.14866940849501686,-3.042107040464336,0.15528076026668966,31.70294122705708,8.542621315640474
2009-11-01,50.661999999999985,19.143754171067663,9.689522554575225,41.14214949410824,-2.983306056226819,1.0504920700678348,80.1393113094154,12.836787492552181
2009-12-01,51.40650000000001,15.94124992620598,7.180730998559093,74.98431256272518,-2.6642026990157155,1.3159217603186766,129.6671078802117,7.598820795745464
2010-01-01,51.92499999999999,7.512311031265062,9.770753878669147,68.04989338546117,-2.5893942353641033,0.9422705116537895,125.75003570864757,7.467649113836283
2010-02-01,52.22100000000001,12.94918313601412,7.997041187151033,68.13975967288013,-2.8273264575079406,1.3272787579304965,107.06287266959768,7.390696745579605
2010-03-01,52.33975000000001,9.997851272140966,11.011974113405088,66.49359394010031,-2.228669717920969,1.1023458286614871,97.75526923014999,6.6932679403497115
2010-04-01,52.289749999999984,13.102765662762895,9.65452703034022,64.95699274763167,-2.1856319355770832,0.7830073223246066,71.9914339654544,4.7137877364186735
2010-05-01,52.117000000000004,20.250213720104714,12.52438006435308,30.8283712843332,-4.005107369047178,0.3757869409961224,47.463945419331985,-3.895401085556016
2010-06-01,51.914750000000005,17.494903940482143,5.100073807367167,9.062572865070795,-3.752587693071293,0.22970156201290448,28.62773556659308,-8.092847200895047
2010-07-01,51.78425000000001,12.861817766155092,2.656840570818053,14.58035543173326,-3.206800060476072,-0.10112946872702512,28.45120613642638,-4.505505012839062
2010-08-01,51.789999999999985,2.9293853307290174,0.28870501893965006,5.5543591380896595,-3.104026760678294,-0.5576635000709276,18.11797614233903,-4.717128426613981
2010-09-01,51.933250000000015,-1.2712043124584849,3.546939155321871,14.975576189578232,-2.8245190734510874,-0.3580719994159134,24.98202608945146,-5.292611028882432
2010-10-01,52.178749999999994,8.32464637235628,6.008611712166578,13.025662639997226,-2.555548540103154,0.2099008332600513,31.0762450655552,-1.9052052715587076
2010-11-01,52.475500000000004,10.50159899037084,7.01005243539512,11.016112610930096,-2.520725152607148,0.21579767582419834,26.579628102422404,-4.033495800302878
2010-12-01,52.75475,8.784078361655023,7.270250371624298,22.57282680412058,-2.203852745975229,-0.13756892393531467,30.80564707645379,-4.244161309095684
2011-01-01,52.95825000000001,8.12722813865685,7.224780464861347,25.682768654061473,-2.171986286764928,0.6169561872714716,30.15938612220812,-1.6771134145552091
2011-02-01,53.02900000000001,2.0880664141758265,4.018749717231085,38.75598183073148,-2.186348706989912,0.5015536807634765,44.00104490694541,2.9606815914401063
2011-03-01,52.93949999999999,6.761389855394095,2.148433943313366,43.435098675051265,-2.5994693006982676,0.014169649382241103,27.217026649683284,5.43159484477539
2011-04-01,52.6905,-1.2491360867409873,-2.511636088616853,43.49278058227375,-2.03758167557194,0.021322719865233847,22.311509058762404,8.0119766631917
2011-05-01,52.29949999999999,3.839692204134093,-0.02771003603355693,49.3702204635291,-2.12130121805345,0.14725017076502503,30.581624005243114,12.206992696574915
2011-06-01,51.79600000000001,-0.9935533158238918,0.8811492913114449,50.766214407521424,-2.4024977049318177,0.14374475894609964,39.90605882510365,13.723781975270398
2011-07-01,51.22975,5.943634061839798,4.690047292797028,55.105002036564834,-2.411819839840673,-0.24508549272977873,43.6316524371783,10.007738577741476
2011-08-01,50.665249999999986,4.536631200307384,4.241474580844096,42.533568795886346,-4.393912466004442,-0.09777085636062716,22.85507606737971,9.631962130675987
2011-09-01,50.192499999999995,4.756348780387443,2.3161108685814336,40.39134039025753,-4.582175457452805,-0.6539509690323454,6.247504596312603,5.047716323826624
2011-10-01,49.865700000000004,-0.06448506306336865,-1.5536788086426667,30.58950874703088,-4.117942994443942,-0.46209823974311204,-11.383787069792584,0.3946736389113026
2011-11-01,49.689799999999984,-2.4974646424364644,-2.8595491547574015,28.620670086129564,-4.006663363971492,-0.6904224622418822,-10.407952660469244,0.617902662120462
2011-12-01,49.63265,-0.5999536959384932,0.10223430538200962,16.853929736204055,-3.141872049381761,-0.8794384752388751,-17.690746367665554,0.5467436270067738
