,pmi,trade,ip,oil,fin,ai,copper,usd,factor_static,factor_smoothed
2008-07-01,47.68014999999998,0.1705155440063999,-7.10967679435287,75.5344517510241,-3.0507735055808323,-1.3120473347142594,3.966700407083557,10.202332778020972,-0.1467941179258048,-0.448661607961779
2008-08-01,45.78402499999999,-0.6349864525108551,-4.973741853641844,61.78476643714043,-2.5959866945136176,-1.2642313243752576,2.036289681377945,6.021335405126493,-0.314705222855593,-0.7035244806767609
2008-09-01,43.76617499999998,-2.868457885257225,-8.592330363536771,30.24245039905391,-3.793004115597689,-1.4262578514170623,-9.062933985255706,1.3086916365633416,-1.0493338457093173,-1.3255894574476492
2008-10-01,41.78797500000002,-10.15867257084986,-12.1814027215286,-10.233055081324238,-7.673844574082202,-1.5590162070013132,-39.09914754324506,-6.7617992443171016,-2.465642306931373,-2.240491544831036
2008-11-01,40.11077499999999,-30.559108811362652,-20.303420976038343,-40.26904191844544,-7.857242246177706,-1.6039496572012688,-46.15386747385203,-14.223858479950868,-3.372425079966842,-2.952077917001331
2008-12-01,38.94349999999999,-41.93872790441737,-27.51314007378983,-52.97232194600005,-6.5734713130946,-1.5551042619196913,-54.06634392807729,-8.260381874476685,-3.5227724067239063,-3.2910701592298546
2009-01-01,38.38965000000002,-52.04863342374557,-32.326549844138995,-50.25127321921612,-5.604854860293162,-1.4756421208336856,-53.82239327050542,-10.827074366644515,-3.6737912957847474,-3.41807403025136
2009-02-01,38.5117,-39.00142232301668,-23.54248897682317,-52.930749769835664,-5.716182500165721,-1.4873615482729683,-58.03388276388678,-14.380943394132029,-3.4558785057540784,-3.266447470795055
2009-03-01,39.23279999999998,-25.286465879089228,-15.010472703596566,-53.298537191483966,-5.618960724279506,-1.3323618068505705,-54.94769103834187,-19.329199847082144,-3.100552527434872,-2.9103423128300663
2009-04-01,40.454775000000005,-3.786330477721689,-1.8636699656087048,-52.92946351287026,-4.77457032784589,-1.3326030832140023,-48.059350023495305,-18.212964232723383,-2.290274334780979,-2.3525188086979547
